Group,Batch_Number,epoch_num,Benchmark,Accuracy
batch-2048-eval1,2048,12,truthfulqa_mc2_acc,0.3983903536591413
batch-2048-eval1,2048,16,truthfulqa_mc2_acc,0.4036777437130198
batch-2048-eval1,2048,20,truthfulqa_mc2_acc,0.4094491178691293
batch-2-eval1,2,0,hellaswag_acc_norm,0.5370444134634534
batch-2-eval1,2,4,hellaswag_acc_norm,0.5373431587333201
batch-2-eval1,2,8,hellaswag_acc_norm,0.5379406492730532
batch-2-eval1,2,12,hellaswag_acc_norm,0.5377414857598088
batch-2-eval1,2,16,hellaswag_acc_norm,0.5393347938657638
batch-2-eval1,2,20,hellaswag_acc_norm,0.5413264289982075
batch-8-eval1,8,0,hellaswag_acc_norm,0.5370444134634534
batch-8-eval1,8,4,hellaswag_acc_norm,0.536247759410476
batch-8-eval1,8,8,hellaswag_acc_norm,0.5361481776538538
batch-8-eval1,8,12,hellaswag_acc_norm,0.5374427404899422
batch-8-eval1,8,16,hellaswag_acc_norm,0.5385381398127863
batch-8-eval1,8,20,hellaswag_acc_norm,0.5408285202150966
batch-32-eval1,32,0,hellaswag_acc_norm,0.5370444134634534
batch-32-eval1,32,4,hellaswag_acc_norm,0.5356502688707429
batch-32-eval1,32,8,hellaswag_acc_norm,0.5329615614419438
batch-32-eval1,32,12,hellaswag_acc_norm,0.5313682533359888
batch-32-eval1,32,16,hellaswag_acc_norm,0.5315674168492333
batch-32-eval1,32,20,hellaswag_acc_norm,0.5332603067118104
batch-128-eval1,128,0,hellaswag_acc_norm,0.5370444134634534
batch-128-eval1,128,4,hellaswag_acc_norm,0.5340569607647879
batch-128-eval1,128,8,hellaswag_acc_norm,0.5309699263095001
batch-128-eval1,128,12,hellaswag_acc_norm,0.5311690898227445
batch-128-eval1,128,16,hellaswag_acc_norm,0.5266879107747461
batch-128-eval1,128,20,hellaswag_acc_norm,0.5238000398327026
batch-512-eval1,512,0,hellaswag_acc_norm,0.5370444134634534
batch-512-eval1,512,4,hellaswag_acc_norm,0.5336586337382991
batch-512-eval1,512,8,hellaswag_acc_norm,0.5296753634734117
batch-512-eval1,512,12,hellaswag_acc_norm,0.5275841465843457
batch-512-eval1,512,16,hellaswag_acc_norm,0.5228042222664808
batch-512-eval1,512,20,hellaswag_acc_norm,0.518621788488349
batch-1024-eval1,1024,0,hellaswag_acc_norm,0.5370444134634534
batch-1024-eval1,1024,4,hellaswag_acc_norm,0.5338577972515435
batch-1024-eval1,1024,8,hellaswag_acc_norm,0.5296753634734117
batch-1024-eval1,1024,12,hellaswag_acc_norm,0.5273849830711014
batch-1024-eval1,1024,16,hellaswag_acc_norm,0.5222067317267477
batch-1024-eval1,1024,20,hellaswag_acc_norm,0.5167297351125274
batch-2048-eval1,2048,0,hellaswag_acc_norm,0.5370444134634534
batch-2048-eval1,2048,4,hellaswag_acc_norm,0.533559051981677
batch-2048-eval1,2048,8,hellaswag_acc_norm,0.5290778729336786
batch-2048-eval1,2048,12,hellaswag_acc_norm,0.5270862378012349
batch-2048-eval1,2048,16,hellaswag_acc_norm,0.5212109141605258
batch-2048-eval1,2048,20,hellaswag_acc_norm,0.5160326628161721
batch-2-eval1,2,0,arc_challenge_acc_norm,0.295221843003413
batch-2-eval1,2,4,arc_challenge_acc_norm,0.2901023890784983
batch-2-eval1,2,8,arc_challenge_acc_norm,0.2866894197952218
batch-2-eval1,2,12,arc_challenge_acc_norm,0.2858361774744027
batch-2-eval1,2,16,arc_challenge_acc_norm,0.2858361774744027
batch-2-eval1,2,20,arc_challenge_acc_norm,0.2866894197952218
batch-8-eval1,8,0,arc_challenge_acc_norm,0.295221843003413
batch-8-eval1,8,4,arc_challenge_acc_norm,0.2875426621160409
batch-8-eval1,8,8,arc_challenge_acc_norm,0.2798634812286689
batch-8-eval1,8,12,arc_challenge_acc_norm,0.273037542662116
batch-8-eval1,8,16,arc_challenge_acc_norm,0.2738907849829352
batch-8-eval1,8,20,arc_challenge_acc_norm,0.2713310580204778
batch-32-eval1,32,0,arc_challenge_acc_norm,0.295221843003413
batch-32-eval1,32,4,arc_challenge_acc_norm,0.2866894197952218
batch-32-eval1,32,8,arc_challenge_acc_norm,0.2781569965870307
batch-32-eval1,32,12,arc_challenge_acc_norm,0.2764505119453925
batch-32-eval1,32,16,arc_challenge_acc_norm,0.2764505119453925
batch-32-eval1,32,20,arc_challenge_acc_norm,0.2755972696245733
batch-128-eval1,128,0,arc_challenge_acc_norm,0.295221843003413
batch-128-eval1,128,4,arc_challenge_acc_norm,0.2858361774744027
batch-128-eval1,128,8,arc_challenge_acc_norm,0.2781569965870307
batch-128-eval1,128,12,arc_challenge_acc_norm,0.2790102389078498
batch-128-eval1,128,16,arc_challenge_acc_norm,0.2773037542662116
batch-128-eval1,128,20,arc_challenge_acc_norm,0.2721843003412969
batch-512-eval1,512,0,arc_challenge_acc_norm,0.295221843003413
batch-512-eval1,512,4,arc_challenge_acc_norm,0.2849829351535836
batch-512-eval1,512,8,arc_challenge_acc_norm,0.2764505119453925
batch-512-eval1,512,12,arc_challenge_acc_norm,0.2781569965870307
batch-512-eval1,512,16,arc_challenge_acc_norm,0.2764505119453925
batch-512-eval1,512,20,arc_challenge_acc_norm,0.2696245733788396
batch-1024-eval1,1024,0,arc_challenge_acc_norm,0.295221843003413
batch-1024-eval1,1024,4,arc_challenge_acc_norm,0.2841296928327645
batch-1024-eval1,1024,8,arc_challenge_acc_norm,0.2781569965870307
batch-1024-eval1,1024,12,arc_challenge_acc_norm,0.2790102389078498
batch-1024-eval1,1024,16,arc_challenge_acc_norm,0.2755972696245733
batch-1024-eval1,1024,20,arc_challenge_acc_norm,0.2679180887372013
batch-2048-eval1,2048,0,arc_challenge_acc_norm,0.295221843003413
batch-2048-eval1,2048,4,arc_challenge_acc_norm,0.2849829351535836
batch-2048-eval1,2048,8,arc_challenge_acc_norm,0.2773037542662116
batch-2048-eval1,2048,12,arc_challenge_acc_norm,0.2798634812286689
batch-2048-eval1,2048,16,arc_challenge_acc_norm,0.273037542662116
batch-2048-eval1,2048,20,arc_challenge_acc_norm,0.2679180887372013
batch-2-eval1,2,0,mmlu_acc,0.2491810283435408
batch-2-eval1,2,4,mmlu_acc,0.2508189716564591
batch-2-eval1,2,8,mmlu_acc,0.2509614015097564
batch-2-eval1,2,12,mmlu_acc,0.2508189716564591
batch-2-eval1,2,16,mmlu_acc,0.250462897023216
batch-2-eval1,2,20,mmlu_acc,0.2496795328300811
batch-8-eval1,8,0,mmlu_acc,0.2491810283435408
batch-8-eval1,8,4,mmlu_acc,0.2502492522432702
batch-8-eval1,8,8,mmlu_acc,0.2506765418031619
batch-8-eval1,8,12,mmlu_acc,0.2505341119498647
batch-8-eval1,8,16,mmlu_acc,0.2514599059962968
batch-8-eval1,8,20,mmlu_acc,0.252385700042729
batch-32-eval1,32,0,mmlu_acc,0.2491810283435408
batch-32-eval1,32,4,mmlu_acc,0.2486825238570004
batch-32-eval1,32,8,mmlu_acc,0.2485400940037031
batch-32-eval1,32,12,mmlu_acc,0.2498219626833784
batch-32-eval1,32,16,mmlu_acc,0.2507477567298106
batch-32-eval1,32,20,mmlu_acc,0.2506053268765133
batch-128-eval1,128,0,mmlu_acc,0.2491810283435408
batch-128-eval1,128,4,mmlu_acc,0.2479703745905141
batch-128-eval1,128,8,mmlu_acc,0.2481128044438114
batch-128-eval1,128,12,mmlu_acc,0.2503204671699188
